RestaurantID,RestaurantName,CuisineType,RestaurantAddress,RestaurantRating
1,Figueroa LLC,American,"323 Nelson Stream Suite 463, New Stephanie, WV 95321",1.9
2,Williams PLC,Chinese,"1518 Leonard Orchard, Port Mark, MO 21454",1.0
3,Underwood and Sons,Chinese,"0780 Kennedy Well Suite 633, Sheltonshire, NH 22064",3.2
4,"Morrison, Mckenzie and Noble",Italian,"3519 Mary Points Apt. 408, Michaelbury, DE 47101",3.5
5,Wilson and Sons,American,"3134 Ryan Radial Suite 041, Jamietown, NY 64286",4.1
6,"Johnson, Cohen and Lara",Mexican,"33490 Peterson Spurs, Lake Erikfort, FL 46335",4.8
7,Barnes-Green,Chinese,"36360 Daniel Common Apt. 128, Michaelport, CT 11457",3.3
8,"Brown, Kidd and Gallagher",Italian,"52129 Connie Prairie, South Leah, CO 32696",1.1
9,Clarke-Jordan,Chinese,"30467 Kennedy Islands Apt. 106, Bettyhaven, WI 74252",2.8
10,"Scott, Doyle and Cantrell",American,"351 Sarah Views Apt. 171, Jessicaborough, UT 70335",3.1
11,Escobar PLC,Indian,"215 Salinas Green, North Toddmouth, FL 36430",4.9
12,"Thompson, Hill and Hamilton",Japanese,"61959 Turner Key Apt. 441, Vargasmouth, CO 74250",3.5
13,"Mitchell, Mcguire and Harper",American,"702 Melissa Crossroad Apt. 137, South Pamela, CT 89603",1.6
14,Cruz LLC,American,"579 Forbes Parkway, Lake Kathryn, NH 12083",2.1
15,"Robertson, Blevins and Owens",Mexican,"73082 Michelle Garden Apt. 065, Flemingmouth, IL 29217",4.5
16,Cook-Rodriguez,Chinese,"Unit 5644 Box 2131, DPO AE 92709",1.1
17,Cooper and Sons,Chinese,"07304 Stacey Spurs Suite 105, North Amy, TN 10066",2.4
18,Lee and Sons,American,"PSC 2964, Box 5016, APO AA 81057",1.6
19,"Bradley, Rodriguez and Lucero",Italian,"576 Anderson Extension Suite 398, North Angelaburgh, NE 92242",3.0
20,Peterson-Lawrence,Mexican,"Unit 5875 Box 3427, DPO AA 54306",2.6
21,Bradley-Kim,American,"306 Todd Rest, East Virginiafurt, ID 65672",4.5
22,Jones Ltd,Japanese,"08729 Raymond Trafficway, Howardtown, SD 42644",1.0
23,"Hall, Perez and Gonzalez",Chinese,"363 Pope Port, Jacquelinemouth, IL 69367",3.9
24,"Nicholson, Scott and Payne",American,"28345 Rodney Crossing, Blackshire, TX 41643",4.5
25,Mack-Lee,Mexican,"43630 Marcus Cliff, New Karenburgh, OH 32365",4.6
26,Wood-Maldonado,American,"189 Sanders Lake Suite 358, Jacksonmouth, IN 08036",2.0
27,Waller-Bradley,Chinese,"1915 Ashley Knoll, South Michaelshire, MS 49735",1.4
28,Oconnor-Goodman,Italian,"Unit 8278 Box 0889, DPO AA 98028",2.4
29,"Martinez, Herring and Thompson",Japanese,"459 Foley Meadows, West Michael, SC 37349",4.3
30,Francis-Duke,American,"46289 Moreno Villages, North Lisa, MA 73860",1.6
31,Sellers Inc,Indian,"PSC 8978, Box 6559, APO AE 82685",2.0
32,Jackson-Ellis,Italian,"49746 Farmer Turnpike Suite 070, Adamview, SC 48314",3.3
33,Nelson-Nguyen,Italian,"Unit 6587 Box 2425, DPO AP 60367",3.0
34,Cole PLC,Mexican,"08176 Rhodes Corner, New Cindyview, IN 28744",1.6
35,"Palmer, Williamson and Miller",Chinese,"Unit 5273 Box 9295, DPO AE 86842",1.7
36,"Wright, Meyer and Olson",Indian,"3627 Mary Divide, West Kendra, NC 17239",2.5
37,Cook-Duncan,Mexican,"97291 Audrey Row Apt. 696, North Jessicaburgh, DC 81799",1.7
38,"Smith, Rogers and Moore",American,"0335 Weaver Path, South Michael, ID 10905",3.4
39,Alexander Inc,American,"34792 Victoria Gardens, South Sarahberg, UT 64101",2.0
40,"Rose, Fuller and Smith",Italian,"54451 Phillips Courts Suite 722, Leonmouth, MS 34165",4.2
41,Williams-Vaughan,Mexican,"06249 Patricia Point Apt. 067, West Danielmouth, DE 97602",3.2
42,"Richardson, Duke and Roberts",Italian,"690 Stephanie Centers Suite 428, West Alexandraburgh, PA 97254",2.8
43,Mcdaniel-Rowe,Chinese,"143 Stephanie Via, Teresahaven, AL 22582",4.7
44,King Group,Chinese,"80371 Taylor Harbor, New Francis, AK 63182",2.5
45,Delgado LLC,American,"2015 Abbott Circle, Mccormickmouth, FL 71002",1.6
46,"Thompson, Spencer and Watkins",American,"5813 Barrett Greens Suite 643, Lake Robert, VT 12631",4.7
47,"Martinez, Martinez and Castaneda",American,"5264 Cody Underpass Suite 736, Farrellstad, KS 23593",1.3
48,Buchanan PLC,American,"1659 Kenneth Highway Suite 469, Port Davidfort, OH 01879",4.9
49,"Holt, Casey and Smith",Chinese,"PSC 3118, Box 3392, APO AA 10577",4.7
50,Levine PLC,Italian,"2760 Kevin Centers Suite 662, Port Robertville, PA 45121",2.9